symbol,date,fiscalYear,period,reportedCurrency,marketCap,enterpriseValue,evToSales,evToOperatingCashFlow,evToFreeCashFlow,evToEBITDA,netDebtToEBITDA,currentRatio,incomeQuality,grahamNumber,grahamNetNet,taxBurden,interestBurden,workingCapital,investedCapital,returnOnAssets,operatingReturnOnAssets,returnOnTangibleAssets,returnOnEquity,returnOnInvestedCapital,returnOnCapitalEmployed,earningsYield,freeCashFlowYield,capexToOperatingCashFlow,capexToDepreciation,capexToRevenue,salesGeneralAndAdministrativeToRevenue,researchAndDevelopementToRevenue,stockBasedCompensationToRevenue,intangiblesToTotalAssets,averageReceivables,averagePayables,averageInventory,daysOfSalesOutstanding,daysOfPayablesOutstanding,daysOfInventoryOutstanding,operatingCycle,cashConversionCycle,freeCashFlowToEquity,freeCashFlowToFirm,tangibleAssetValue,netCurrentAssetValue,endpoint
AAPL,2025-09-27,2025,FY,USD,3818743810000.0,3895186810000.0,9.359807406268247,34.94005139843203,39.43814037077161,26.969935053694947,0.5292846905357032,0.8932929222186667,0.995286135166503,28.8371936709443,-11.588738000468274,0.8438999766441395,1.0,-17674000000,32160000000,0.3117962593356549,0.36742927918411644,0.3117962593356549,1.5191298333175105,0.5196842110031786,0.6872062393471412,0.029331635106467118,0.02586374077814872,0.11405428679069267,1.0869379381090785,0.030553079216937677,0.06632288945864702,0.08302075398703868,0.030908710811440764,0.0,69600000000,69410000000,6502000000,63.9879878220208,115.40052498189719,9.445465242577843,73.43345306459864,-41.967071917298554,90284000000,98767000000.0,73733000000,-137551000000,key-metrics
AAPL,2024-09-28,2024,FY,USD,3495160329570.0,3584276329570.0,9.166126637180815,30.30997961650346,32.94159686022039,26.5639689436745,0.6604609797672868,0.8673125765340832,1.2615643936161134,22.587017267616833,-12.352478525015636,0.7590881483581001,1.0,-23405000000,22275000000,0.25682503150857583,0.3434290787011036,0.25682503150857583,1.6459350307287095,0.4430708117427921,0.6533607652660827,0.026818798327209237,0.03113076074921754,0.07988736110406414,0.8254259501965924,0.02415896275269477,0.06673827151022287,0.08022299794136074,0.02988990755303234,0.0,63614000000,65785500000,6808500000,61.83255974529134,119.65847721913745,12.642570548414087,74.47513029370543,-45.18334692543202,102809000000,108807000000.0,56950000000,-155043000000,key-metrics
AAPL,2023-09-30,2023,FY,USD,2695569789510.0,2789534789510.0,7.277964933430737,25.234838836561337,28.0118773046875,21.592832070393534,0.7273508375390904,0.9880116717592975,1.1396773029537606,23.391122856319186,-11.431345868845547,0.8528082577196314,0.9665757336256788,-1742000000,52634000000,0.27509834563776475,0.32410277058658404,0.27509834563776475,1.5607601454639075,0.4338918291689624,0.551446146423833,0.03598311584343425,0.03694358068098929,0.0991378920420108,0.9513846688080563,0.02859230076835775,0.06504820172978332,0.07804897139204509,0.028263563666723196,0.0,60958500000,63363000000,5638500000,58.07564866874519,106.72146803214763,10.791292490321615,68.8669411590668,-37.85452687308083,89683000000,102938094877.61131,62146000000,-146871000000,key-metrics
AAPL,2022-09-24,2022,FY,USD,2439367314090.0,2548201314090.0,6.462136379080359,20.861076160571752,22.865512540850478,19.13954929539275,0.8174525680121378,0.8793560286267226,1.2239211246154926,20.801963754945305,-12.67929632054538,0.8379553831557559,0.9759821033482472,-18577000000,33957000000,0.2829244092925685,0.3394268192003774,0.2829244092925685,1.9695887275023682,0.45174761493312454,0.6008713457059057,0.040913477615088595,0.04568520671581333,0.08766199212450164,0.9643371757925072,0.02715505873283155,0.06363737802032826,0.06657148363798665,0.022920005680550203,0.0,56219000000,59439000000,5763000000,56.400204905560855,104.6852773031054,8.07569806661716,64.47590297217802,-40.209374330927375,111320000000,113899047228.02953,50672000000,-166678000000,key-metrics
AAPL,2021-09-25,2021,FY,USD,2453750882240.0,2555332882240.0,6.985276469491576,24.561534076395162,27.490590752746012,20.7521186512474,0.8249577702702703,1.0745531195957954,1.0988381918039714,21.950837680915992,-10.97841529675105,0.8669773915591491,0.9763526803275757,9355000000,58882000000,0.26974205275183616,0.3228644668019974,0.26974205275183616,1.5007132667617689,0.3892505618225257,0.48309913489209433,0.038585824129614886,0.03788200370004322,0.1065476076049136,0.9823644097837646,0.030302036264033657,0.06006555190163388,0.059904269074427925,0.021611898845597662,0.0,44475500000,48529500000,5320500000,51.390968708397914,93.85107122231561,11.27659274770989,62.667561456107805,-31.183509766207806,105618000000,95246155200.67395,63090000000,-153076000000,key-metrics
MSFT,2025-06-30,2025,FY,USD,3697248530000.0,3779190530000.0,13.414513956922377,27.7551044344237,52.77388292301462,23.595607841913026,0.5116099022882652,1.3534464445042416,1.3371238903291696,119.34915757964492,-17.230088793219426,0.8237035599019632,0.9810732311208457,49913000000,421815000000,0.16450970350709124,0.22724869736183725,0.21353351926020675,0.2964722734140952,0.21633285207217198,0.2690080266228534,0.027542643988825926,0.019368727695457357,0.47407499889837107,1.8900535824085731,0.22912850875324786,0.11669932274140649,0.11531853871164686,0.042502591188539135,0.22958370153294896,63414500000,24860000000,1092000000,90.56851741420681,115.21285195432137,3.8980542177591055,94.46657163196592,-20.746280322355446,62649000000,73575532990.36618,201366000000,-84393000000,key-metrics
MSFT,2024-06-30,2024,FY,USD,3393960630000.0,3473497630000.0,14.170485023784074,29.300347791611838,46.89416411281068,26.11475636986971,0.5979820914374215,1.2749549031815206,1.345057638195516,98.19157113773981,-16.79975777149778,0.8176867340217281,0.9734921695778617,34448000000,335817000000,0.17208583985957596,0.23683233799244485,0.24123981102844974,0.32828137978299815,0.22273144449804294,0.2828625118577739,0.025968480370970007,0.021824354515273207,0.3751813611364173,1.9956476869924171,0.18144842160230415,0.13081241177862452,0.12038903076835208,0.04379043904667879,0.2866606920062558,52806000000,20045500000,1873000000,84.76293437553545,108.32690179992983,6.136357503305718,90.89929187884117,-17.42760992108866,74646000000,76470910564.35378,121660000000,-83952000000,key-metrics
MSFT,2023-06-30,2023,FY,USD,2535660840000.0,2580397840000.0,12.176570039874479,29.462650316275035,43.38626044556536,24.54249419821191,0.42549933422103864,1.76916725076573,1.2103481156976825,77.81961132791403,-7.618990061778136,0.8102137474667174,0.9784397287437417,80108000000,267347000000,0.175643726819038,0.2279124013923503,0.2161810924821644,0.35088714643856406,0.22648273199127267,0.28757386454079725,0.02853733388097755,0.023455423951730073,0.3209221072823183,2.027775773753697,0.13263336715192411,0.1431422976193285,0.12832975485454073,0.04535308968218389,0.18751577761811367,46474500000,18547500000,3121000000,83.85966071302173,100.27898820278456,13.854516192703034,97.71417690572476,-2.564811297059805,56725000000,61069500655.014496,128971000000,-21496000000,key-metrics
MSFT,2022-06-30,2022,FY,USD,1925197680000.0,1989666680000.0,10.03513733797347,22.347017240411073,30.54024896775085,19.849227147118388,0.6431528646534782,1.7846069708251824,1.224050702521378,69.6472938972942,-7.801794290288154,0.8688661665631421,0.975949824549132,74602000000,240970000000,0.19936958666812848,0.23870807979742892,0.25431266563642846,0.4367546925099975,0.26269028650459386,0.309102973776496,0.03778209414837857,0.033840161286710045,0.2682765204694783,1.6518672199170124,0.12047208352246935,0.13983456902204064,0.12362939426035205,0.037837292580824126,0.21604538975989473,41152000000,17081500000,3189000000,81.48113683361075,110.69433359936153,21.80095770151636,103.2820945351271,-7.412239064234427,56126000000,66941470901.61977,87720000000,-28614000000,key-metrics
MSFT,2021-06-30,2021,FY,USD,2044482299999.9998,2112536299999.9998,12.56803757555566,27.528489705499084,37.64454007626786,24.81424930110179,0.7993751027791481,2.0799936835218875,1.2524685413980512,58.6232935643997,-4.198323837286339,0.861733847149166,0.9680590349635116,95749000000,224063000000,0.18356757015869782,0.22017666787384466,0.22178102422285606,0.4315223821731414,0.23539632680703854,0.28522939597424957,0.029968955955255765,0.027448513494100685,0.26872556684910087,1.7646756803012151,0.12268573604302509,0.15006425205844556,0.12324496692208843,0.036397601256484696,0.17230263138184249,35027000000,13846500000,2265500000,82.6096746942078,105.95985219788636,18.420508500536073,101.03018319474387,-4.929669003142493,52368000000,58139627605.41194,84477000000,-7385000000,key-metrics
GOOGL,2025-12-31,2025,FY,USD,3792308000000.0,3820891000000.0,9.481989661581833,23.197264332505632,52.15094313870008,21.231654460386082,0.1588279747946789,2.005333592875566,1.2462207762729818,91.71937861420528,-0.4959144932320898,0.8321685366375783,1.0,103293000000,398491000000,0.22202959610671263,0.24708068676670458,0.23521937138392707,0.3182786895115167,0.2182335528841129,0.26224682053697596,0.034852126989685435,0.019319633320922246,0.5551899364348898,4.326599167297502,0.22693646811245696,0.12451515399676893,0.15159456327255852,0.06192379945553314,0.05607435816026381,57613000000,10093500000,0,56.96153244838856,27.397175992863076,0.0,56.96153244838856,29.564356455525484,105403000000,73385000100.73917,381885000000,26022000000,key-metrics
GOOGL,2024-12-31,2024,FY,USD,2331986700000.0,2333981700000.0,6.668176208080728,18.627297105324065,32.07604996976527,17.238442619318434,0.014734774066797643,1.8369313974102914,1.2515132144069998,69.46558284356453,0.7906485916064616,0.8356048908734298,0.9977682103211946,74589000000,291098000000,0.22235794747876764,0.2636257869601524,0.2393043494888508,0.30797578472025694,0.2579896041307089,0.3112141199665498,0.04293249185340551,0.031202579328604232,0.4192770892026273,3.431193259747894,0.15009228096840735,0.1199824009050963,0.14092418104211785,0.065096652172174,0.0708152695355531,50152000000,7740000000,0,54.580335868441054,19.925737837135866,0.0,54.580335868441054,34.654598031305184,73652000000,72987942110.75407,293199000000,38539000000,key-metrics
